ncbi_gene_id,gene_symbol,pathway_sources
122481,AK7,R-HSA-499943|Interconversion of nucleotide di- and triphosphates
122553,TRAPPC6B,R-HSA-204005|COPII-mediated vesicle transport ; R-HSA-8876198|RAB GEFs exchange GTP for GDP on RABs
122618,PLD4,R-HSA-1483148|Synthesis of PG ; R-HSA-1855204|Synthesis of IP3 and IP4 in the cytosol ; R-HSA-2029485|Role of phospholipids in phagocytosis
122622,ADSS1,R-HSA-73817|Purine ribonucleoside monophosphate biosynthesis
122665,RNASE8,R-HSA-6803157|Antimicrobial peptides
122704,MRPL52,R-HSA-5368286|Mitochondrial translation initiation ; R-HSA-5389840|Mitochondrial translation elongation ; R-HSA-5419276|Mitochondrial translation termination ; R-HSA-9937383|Mitochondrial ribosome-associated quality control
122706,PSMB11,R-HSA-9907900|Proteasome assembly
122740,OR4K14,R-HSA-9752946|Expression and translocation of olfactory receptors
122742,OR4L1,R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-9752946|Expression and translocation of olfactory receptors
122748,OR11H6,R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-9752946|Expression and translocation of olfactory receptors
122769,LRR1,R-HSA-8951664|Neddylation ; R-HSA-983168|Antigen processing: Ubiquitination & Proteasome degradation
122809,SOCS4,R-HSA-8939242|RUNX1 regulates transcription of genes involved in differentiation of keratinocytes
122830,NAA30,R-HSA-6811440|Retrograde transport at the Trans-Golgi-Network
122876,GPHB5,R-HSA-375281|Hormone ligand-binding receptors ; R-HSA-418555|G alpha (s) signalling events
122961,ISCA2,R-HSA-1362409|Mitochondrial iron-sulfur cluster biogenesis ; R-HSA-9854311|Maturation of TCA enzymes and regulation of TCA cycle
122970,ACOT4,R-HSA-390247|Beta-oxidation of very long chain fatty acids ; R-HSA-9033241|Peroxisomal protein import
123016,TTC8,R-HSA-5620922|BBSome-mediated cargo-targeting to cilium
123041,SLC24A4,R-HSA-425561|Sodium/Calcium exchangers ; R-HSA-5619055|Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)
123096,SLC25A29,R-HSA-352230|Amino acid transport across the plasma membrane
123099,DEGS2,R-HSA-1660661|Sphingolipid de novo biosynthesis
123169,LEO1,R-HSA-112382|Formation of RNA Pol II elongation complex ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-674695|RNA Polymerase II Pre-transcription Events ; R-HSA-75955|RNA Polymerase II Transcription Elongation ; R-HSA-8866654|E3 ubiquitin ligases ubiquitinate target proteins ; R-HSA-9920588|Dengue virus activates/modulates innate and adaptive immune responses
123228,SENP8,R-HSA-5689603|UCH proteinases ; R-HSA-8951664|Neddylation
123263,MTFMT,R-HSA-5368286|Mitochondrial translation initiation
123264,SLC51B,R-HSA-159418|Recycling of bile acids and salts
123606,NIPA1,R-HSA-5223345|Miscellaneous transport and binding events
123624,AGBL1,R-HSA-8955332|Carboxyterminal post-translational modifications of tubulin
123688,HYKK,R-HSA-71064|Lysine catabolism
123720,WHAMM,R-HSA-9013405|RHOD GTPase cycle
123745,PLA2G4E,R-HSA-1482788|Acyl chain remodelling of PC ; R-HSA-1482801|Acyl chain remodelling of PS ; R-HSA-1482839|Acyl chain remodelling of PE ; R-HSA-1482922|Acyl chain remodelling of PI ; R-HSA-1483115|Hydrolysis of LPC
123876,ACSM2A,R-HSA-177128|Conjugation of salicylate with glycine ; R-HSA-9749641|Aspirin ADME
123879,DCUN1D3,R-HSA-8951664|Neddylation
123904,NRN1L,R-HSA-163125|Post-translational modification: synthesis of GPI-anchored proteins
124056,NOXO1,R-HSA-5668599|RHO GTPases Activate NADPH Oxidases ; R-HSA-9013149|RAC1 GTPase cycle ; R-HSA-9013423|RAC3 GTPase cycle ; R-HSA-9673324|WNT5:FZD7-mediated leishmania damping
124245,ZC3H18,R-HSA-9930044|Nuclear RNA decay
124411,KRABD5,R-HSA-212436|Generic Transcription Pathway
124446,TMEM219,R-HSA-6803211|TP53 Regulates Transcription of Death Receptors and Ligands
124454,EARS2,R-HSA-379726|Mitochondrial tRNA aminoacylation
124512,METTL23,R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-9821993|Replacement of protamines by nucleosomes in the male pronucleus
124538,OR4D2,R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-9752946|Expression and translocation of olfactory receptors
124540,MSI2,R-HSA-9013418|RHOBTB2 GTPase cycle
124583,CANT1,R-HSA-6798695|Neutrophil degranulation
124590,USH1G,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea ; R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
124599,CD300LB,R-HSA-198933|Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell ; R-HSA-2172127|DAP12 interactions
124602,KIF19,R-HSA-6811434|COPI-dependent Golgi-to-ER retrograde traffic ; R-HSA-983189|Kinesins
124739,USP43,R-HSA-5656169|Termination of translesion DNA synthesis
124872,B4GALNT2,R-HSA-446203|Asparagine N-linked glycosylation ; R-HSA-9037629|Lewis blood group biosynthesis
124935,SLC43A2,R-HSA-352230|Amino acid transport across the plasma membrane
124975,GGT6,R-HSA-174403|Glutathione synthesis and recycling ; R-HSA-5423646|Aflatoxin activation and detoxification ; R-HSA-9753281|Paracetamol ADME
124976,SPNS2,R-HSA-1660661|Sphingolipid de novo biosynthesis
124995,MRPL10,R-HSA-5368286|Mitochondrial translation initiation ; R-HSA-5389840|Mitochondrial translation elongation ; R-HSA-5419276|Mitochondrial translation termination ; R-HSA-9937383|Mitochondrial ribosome-associated quality control
124997,WDR81,R-HSA-9013148|CDC42 GTPase cycle
125058,TBC1D16,R-HSA-8854214|TBC/RABGAPs
125061,AFMID,R-HSA-71240|Tryptophan catabolism
125111,GJD3,R-HSA-190861|Gap junction assembly
125115,KRT40,R-HSA-6805567|Keratinization ; R-HSA-6809371|Formation of the cornified envelope
125206,SLC5A10,R-HSA-189200|Cellular hexose transport
125476,INO80C,R-HSA-5689603|UCH proteinases ; R-HSA-5696394|DNA Damage Recognition in GG-NER
125893,ZNF816,R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins
125919,ZNF543,R-HSA-212436|Generic Transcription Pathway
125958,OR7D4,R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-9752946|Expression and translocation of olfactory receptors
125962,OR7G1,R-HSA-9752946|Expression and translocation of olfactory receptors
125963,OR1M1,R-HSA-9752946|Expression and translocation of olfactory receptors
125965,COX6B2,R-HSA-5628897|TP53 Regulates Metabolic Genes ; R-HSA-611105|Respiratory electron transport ; R-HSA-9707564|Cytoprotection by HMOX1 ; R-HSA-9864848|Complex IV assembly
125981,ACER1,R-HSA-9845614|Sphingolipid catabolism
125988,MICOS13,R-HSA-8949613|Cristae formation
126003,TRAPPC5,R-HSA-204005|COPII-mediated vesicle transport ; R-HSA-8876198|RAB GEFs exchange GTP for GDP on RABs
126006,PCP2,R-HSA-418594|G alpha (i) signalling events
126014,OSCAR,R-HSA-198933|Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell ; R-HSA-6798695|Neutrophil degranulation
126068,ZNF441,R-HSA-212436|Generic Transcription Pathway
126070,ZNF440,R-HSA-212436|Generic Transcription Pathway
126119,JOSD2,R-HSA-5689877|Josephin domain DUBs
126123,IZUMO2,R-HSA-1300645|Acrosome Reaction and Sperm:Oocyte Membrane Binding
126231,ZNF573,R-HSA-212436|Generic Transcription Pathway
126282,TNFAIP8L1,R-HSA-1483255|PI Metabolism
126328,NDUFA11,R-HSA-611105|Respiratory electron transport ; R-HSA-6799198|Complex I biogenesis
126370,OR1I1,R-HSA-9752946|Expression and translocation of olfactory receptors
126374,WTIP,R-HSA-1234176|Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha
126375,ZNF792,R-HSA-212436|Generic Transcription Pathway
126382,NR2C2AP,R-HSA-383280|Nuclear Receptor transcription pathway
126410,CYP4F22,R-HSA-211935|Fatty acids ; R-HSA-211958|Miscellaneous substrates ; R-HSA-211979|Eicosanoids ; R-HSA-2142691|Synthesis of Leukotrienes (LT) and Eoxins (EX) ; R-HSA-5579005|Defective CYP4F22 causes ARCI5
126432,RINL,R-HSA-8876198|RAB GEFs exchange GTP for GDP on RABs
126433,FBXO27,R-HSA-8951664|Neddylation ; R-HSA-983168|Antigen processing: Ubiquitination & Proteasome degradation
126541,OR10H4,R-HSA-9752946|Expression and translocation of olfactory receptors
126638,RPTN,R-HSA-6809371|Formation of the cornified envelope
126792,B3GALT6,R-HSA-1971475|Glycosaminoglycan-protein linkage region biosynthesis ; R-HSA-4420332|Defective B3GALT6 causes EDSP2 and SEMDJL1
126961,H3C14,R-HSA-1266695|Interleukin-7 signaling ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-3247509|Chromatin modifying enzymes ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-983231|Factors involved in megakaryocyte development and platelet production ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
126969,SLC44A3,R-HSA-1483191|Synthesis of PC ; R-HSA-9958517|SLC-mediated bile acid transport
127059,OR2M5,R-HSA-9752946|Expression and translocation of olfactory receptors
127062,OR2M3,R-HSA-9752946|Expression and translocation of olfactory receptors
127064,OR2T12,R-HSA-9752946|Expression and translocation of olfactory receptors
127066,OR14C36,R-HSA-9752946|Expression and translocation of olfactory receptors
127068,OR2T34,R-HSA-9752946|Expression and translocation of olfactory receptors
127069,OR2T10,R-HSA-9752946|Expression and translocation of olfactory receptors
127074,OR2T4,R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-9752946|Expression and translocation of olfactory receptors
127077,OR2T11,R-HSA-9752946|Expression and translocation of olfactory receptors
127124,ATP6V1G3,R-HSA-1222556|ROS and RNS production in phagocytes ; R-HSA-77387|Insulin receptor recycling ; R-HSA-917977|Transferrin endocytosis and recycling ; R-HSA-9639288|Amino acids regulate mTORC1 ; R-HSA-983712|Ion channel transport
127247,ASB17,R-HSA-8951664|Neddylation ; R-HSA-983168|Antigen processing: Ubiquitination & Proteasome degradation
127253,TYW3,R-HSA-6782861|Synthesis of wybutosine at G37 of tRNA(Phe)
127281,PRXL2B,R-HSA-2162123|Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
127385,OR10J5,R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-9752946|Expression and translocation of olfactory receptors
127396,ZNF684,R-HSA-212436|Generic Transcription Pathway
127534,GJB4,R-HSA-190861|Gap junction assembly
127544,RNF19B,R-HSA-983168|Antigen processing: Ubiquitination & Proteasome degradation
127608,OR2AJ1,R-HSA-9752946|Expression and translocation of olfactory receptors
127623,OR2B11,R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-9752946|Expression and translocation of olfactory receptors
127829,ARL8A,R-HSA-6798695|Neutrophil degranulation
127833,SYT2,R-HSA-5250958|Toxicity of botulinum toxin type B (botB) ; R-HSA-6794361|Neurexins and neuroligins ; R-HSA-8856825|Cargo recognition for clathrin-mediated endocytosis ; R-HSA-8856828|Clathrin-mediated endocytosis
127933,UHMK1,R-HSA-9634638|Estrogen-dependent nuclear events downstream of ESR-membrane signaling
128178,EDARADD,R-HSA-5669034|TNFs bind their physiological receptors
128239,IQGAP3,R-HSA-5626467|RHO GTPases activate IQGAPs ; R-HSA-8980692|RHOA GTPase cycle ; R-HSA-9013026|RHOB GTPase cycle ; R-HSA-9013106|RHOC GTPase cycle ; R-HSA-9013148|CDC42 GTPase cycle ; R-HSA-9013149|RAC1 GTPase cycle ; R-HSA-9013406|RHOQ GTPase cycle ; R-HSA-9013409|RHOJ GTPase cycle
128240,NAXE,R-HSA-196807|Nicotinate metabolism
128272,ARHGEF19,R-HSA-193648|NRAGE signals death through JNK ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-8980692|RHOA GTPase cycle ; R-HSA-9013148|CDC42 GTPase cycle ; R-HSA-9013149|RAC1 GTPase cycle
128308,MRPL55,R-HSA-5368286|Mitochondrial translation initiation ; R-HSA-5389840|Mitochondrial translation elongation ; R-HSA-5419276|Mitochondrial translation termination ; R-HSA-9937383|Mitochondrial ribosome-associated quality control
128312,H2BC26,R-HSA-110328|Recognition and association of DNA glycosylase with site containing an affected pyrimidine ; R-HSA-110329|Cleavage of the damaged pyrimidine ; R-HSA-110330|Recognition and association of DNA glycosylase with site containing an affected purine ; R-HSA-110331|Cleavage of the damaged purine ; R-HSA-1221632|Meiotic synapsis ; R-HSA-171306|Packaging Of Telomere Ends ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-2559586|DNA Damage/Telomere Stress Induced Senescence ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-5689880|Ub-specific processing proteases ; R-HSA-5693565|Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks ; R-HSA-5693571|Nonhomologous End-Joining (NHEJ) ; R-HSA-5693607|Processing of DNA double-strand break ends ; R-HSA-606279|Deposition of new CENPA-containing nucleosomes at the centromere ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-69473|G2/M DNA damage checkpoint ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9670095|Inhibition of DNA recombination at telomere ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-9821993|Replacement of protamines by nucleosomes in the male pronucleus ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
128360,OR10T2,R-HSA-9752946|Expression and translocation of olfactory receptors
128366,OR6P1,R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-9752946|Expression and translocation of olfactory receptors
128367,OR10X1,R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-9752946|Expression and translocation of olfactory receptors
128368,OR10Z1,R-HSA-9752946|Expression and translocation of olfactory receptors
128371,OR6K6,R-HSA-9752946|Expression and translocation of olfactory receptors
128372,OR6N1,R-HSA-9752946|Expression and translocation of olfactory receptors
128486,FITM2,R-HSA-8964572|Lipid particle organization
128637,TBC1D20,R-HSA-204005|COPII-mediated vesicle transport ; R-HSA-8854214|TBC/RABGAPs
128674,PROKR2,R-HSA-375276|Peptide ligand-binding receptors ; R-HSA-416476|G alpha (q) signalling events
128859,BPIFB6,R-HSA-6803157|Antimicrobial peptides
128866,CHMP4B,R-HSA-162588|Budding and maturation of HIV virion ; R-HSA-1632852|Macroautophagy ; R-HSA-5620971|Pyroptosis ; R-HSA-917729|Endosomal Sorting Complex Required For Transport (ESCRT) ; R-HSA-9610379|HCMV Late Events ; R-HSA-9615710|Late endosomal microautophagy ; R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III ; R-HSA-9679504|Translation of Replicase and Assembly of the Replication Transcription Complex ; R-HSA-9694676|Translation of Replicase and Assembly of the Replication Transcription Complex
128869,PIGU,R-HSA-162791|Attachment of GPI anchor to uPAR
129080,EMID1,R-HSA-5173105|O-linked glycosylation
129401,NUP35,R-HSA-1169408|ISG15 antiviral mechanism ; R-HSA-159227|Transport of the SLBP independent Mature mRNA ; R-HSA-159230|Transport of the SLBP Dependant Mature mRNA ; R-HSA-159231|Transport of Mature mRNA Derived from an Intronless Transcript ; R-HSA-159236|Transport of Mature mRNA derived from an Intron-Containing Transcript ; R-HSA-165054|Rev-mediated nuclear export of HIV RNA ; R-HSA-168271|Transport of Ribonucleoproteins into the Host Nucleus ; R-HSA-168276|NS1 Mediated Effects on Host Pathways ; R-HSA-168325|Viral Messenger RNA Synthesis ; R-HSA-168333|NEP/NS2 Interacts with the Cellular Export Machinery ; R-HSA-170822|Regulation of Glucokinase by Glucokinase Regulatory Protein ; R-HSA-180746|Nuclear import of Rev protein ; R-HSA-180910|Vpr-mediated nuclear import of PICs ; R-HSA-191859|snRNP Assembly ; R-HSA-3108214|SUMOylation of DNA damage response and repair proteins ; R-HSA-3232142|SUMOylation of ubiquitinylation proteins ; R-HSA-3301854|Nuclear Pore Complex (NPC) Disassembly ; R-HSA-3371453|Regulation of HSF1-mediated heat shock response ; R-HSA-4085377|SUMOylation of SUMOylation proteins ; R-HSA-4551638|SUMOylation of chromatin organization proteins ; R-HSA-4570464|SUMOylation of RNA binding proteins ; R-HSA-4615885|SUMOylation of DNA replication proteins ; R-HSA-5619107|Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC) ; R-HSA-6784531|tRNA processing in the nucleus ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9615933|Postmitotic nuclear pore complex (NPC) reformation ; R-HSA-9705671|SARS-CoV-2 activates/modulates innate and adaptive immune responses
129446,XIRP2,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea ; R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
129450,TYW5,R-HSA-6782861|Synthesis of wybutosine at G37 of tRNA(Phe)
129521,NMS,R-HSA-375276|Peptide ligand-binding receptors ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-418594|G alpha (i) signalling events
129563,DIS3L2,R-HSA-9820865|Z-decay: degradation of maternal mRNAs by zygotically expressed factors
129642,MBOAT2,R-HSA-1482788|Acyl chain remodelling of PC ; R-HSA-1482839|Acyl chain remodelling of PE
129685,TAF8,R-HSA-167161|HIV Transcription Initiation ; R-HSA-167162|RNA Polymerase II HIV Promoter Escape ; R-HSA-167172|Transcription of the HIV genome ; R-HSA-674695|RNA Polymerase II Pre-transcription Events ; R-HSA-6804756|Regulation of TP53 Activity through Phosphorylation ; R-HSA-6807505|RNA polymerase II transcribes snRNA genes ; R-HSA-73776|RNA Polymerase II Promoter Escape ; R-HSA-73779|RNA Polymerase II Transcription Pre-Initiation And Promoter Opening ; R-HSA-75953|RNA Polymerase II Transcription Initiation ; R-HSA-76042|RNA Polymerase II Transcription Initiation And Promoter Clearance
129807,NEU4,R-HSA-4085001|Sialic acid metabolism ; R-HSA-9840310|Glycosphingolipid catabolism
129880,BBS5,R-HSA-5620922|BBSome-mediated cargo-targeting to cilium
130013,ACMSD,R-HSA-71240|Tryptophan catabolism
130075,OR9A4,R-HSA-9752946|Expression and translocation of olfactory receptors
130120,REG3G,R-HSA-6803157|Antimicrobial peptides
130340,AP1S3,R-HSA-164940|Nef mediated downregulation of MHC class I complex cell surface expression ; R-HSA-2132295|MHC class II antigen presentation ; R-HSA-432720|Lysosome Vesicle Biogenesis ; R-HSA-432722|Golgi Associated Vesicle Biogenesis
130367,SGPP2,R-HSA-9845614|Sphingolipid catabolism
130399,ACVR1C,R-HSA-1181150|Signaling by NODAL ; R-HSA-1433617|Regulation of signaling by NODAL ; R-HSA-1502540|Signaling by Activin
130497,OSR1,R-HSA-9761174|Formation of intermediate mesoderm ; R-HSA-9830364|Formation of the nephric duct
130576,LYPD6B,R-HSA-163125|Post-translational modification: synthesis of GPI-anchored proteins
130589,GALM,R-HSA-70370|Galactose catabolism ; R-HSA-9931929|Defective GALM causes GALAC4
130916,MTERF4,R-HSA-6793080|rRNA modification in the mitochondrion
131096,KCNH8,R-HSA-1296072|Voltage gated Potassium channels
131118,DNAJC19,R-HSA-1268020|Mitochondrial protein import
131405,TRIM71,R-HSA-983168|Antigen processing: Ubiquitination & Proteasome degradation
131450,CD200R1,R-HSA-198933|Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
131474,CHCHD4,R-HSA-1268020|Mitochondrial protein import
131669,UROC1,R-HSA-70921|Histidine catabolism
131870,NUDT16,R-HSA-2393930|Phosphate bond hydrolysis by NUDT proteins
131873,COL6A6,R-HSA-1442490|Collagen degradation ; R-HSA-1650814|Collagen biosynthesis and modifying enzymes ; R-HSA-186797|Signaling by PDGF ; R-HSA-2022090|Assembly of collagen fibrils and other multimeric structures ; R-HSA-216083|Integrin cell surface interactions ; R-HSA-3000178|ECM proteoglycans ; R-HSA-419037|NCAM1 interactions ; R-HSA-8948216|Collagen chain trimerization
131890,GRK7,"R-HSA-2514859|Inactivation, recovery and regulation of the phototransduction cascade"
132014,IL17RE,R-HSA-448424|Interleukin-17 signaling
132112,RTP1,R-HSA-9752946|Expression and translocation of olfactory receptors
132158,GLYCTK,R-HSA-70350|Fructose catabolism
132243,H1-8,R-HSA-9821993|Replacement of protamines by nucleosomes in the male pronucleus
132320,SCLT1,R-HSA-5620912|Anchoring of the basal body to the plasma membrane
132660,LIN54,R-HSA-1362277|Transcription of E2F targets under negative control by DREAM complex ; R-HSA-1362300|Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1 ; R-HSA-1538133|G0 and Early G1 ; R-HSA-156711|Polo-like kinase mediated events ; R-HSA-69202|Cyclin E associated events during G1/S transition ; R-HSA-69205|G1/S-Specific Transcription ; R-HSA-69656|Cyclin A:Cdk2-associated events at S phase entry
132789,GNPDA2,R-HSA-70171|Glycolysis
132884,EVC2,R-HSA-5632684|Hedgehog 'on' state ; R-HSA-5635838|Activation of SMO
133060,OTOP1,R-HSA-9729555|Sensory perception of sour taste
133121,ENPP6,R-HSA-6814848|Glycerophospholipid catabolism
133308,SLC9B2,R-HSA-2672351|Stimuli-sensing channels
133383,SETD9,R-HSA-6804760|Regulation of TP53 Activity through Methylation
133396,IL31RA,R-HSA-6788467|IL-6-type cytokine receptor ligand interactions
133418,EMB,R-HSA-433692|Proton-coupled monocarboxylate transport
133522,PPARGC1B,R-HSA-1989781|PPARA activates gene expression ; R-HSA-2151201|Transcriptional activation of mitochondrial biogenesis ; R-HSA-8939902|Regulation of RUNX2 expression and activity ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9844594|Transcriptional regulation of brown and beige adipocyte differentiation by EBF2
133686,NADK2,R-HSA-196807|Nicotinate metabolism ; R-HSA-9837999|Mitochondrial protein degradation
133688,UGT3A1,R-HSA-156588|Glucuronidation ; R-HSA-9749641|Aspirin ADME
133746,JMY,R-HSA-6804760|Regulation of TP53 Activity through Methylation
134083,OR2Y1,R-HSA-9752946|Expression and translocation of olfactory receptors
134147,CMBL,R-HSA-211945|Phase I - Functionalization of compounds
134266,GRPEL2,R-HSA-1268020|Mitochondrial protein import
134353,LSM11,R-HSA-111367|SLBP independent Processing of Histone Pre-mRNAs ; R-HSA-73856|RNA Polymerase II Transcription Termination ; R-HSA-77588|SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs
134429,STARD4,R-HSA-196108|Pregnenolone biosynthesis
134430,WDR36,R-HSA-6790901|rRNA modification in the nucleus and cytosol ; R-HSA-6791226|Major pathway of rRNA processing in the nucleolus and cytosol
134526,ACOT12,R-HSA-77289|Mitochondrial Fatty Acid Beta-Oxidation
134637,ADAT2,R-HSA-6782315|tRNA modification in the nucleus and cytosol
134701,RIPPLY2,R-HSA-9824272|Somitogenesis
134829,CLVS2,R-HSA-432720|Lysosome Vesicle Biogenesis
134860,TAAR9,R-HSA-375280|Amine ligand-binding receptors ; R-HSA-418555|G alpha (s) signalling events
134864,TAAR1,R-HSA-375280|Amine ligand-binding receptors ; R-HSA-418555|G alpha (s) signalling events
135152,B3GAT2,R-HSA-1971475|Glycosaminoglycan-protein linkage region biosynthesis
135154,SDHAF4,R-HSA-9854311|Maturation of TCA enzymes and regulation of TCA cycle
135228,CD109,R-HSA-114608|Platelet degranulation ; R-HSA-163125|Post-translational modification: synthesis of GPI-anchored proteins
135250,RAET1E,R-HSA-198933|Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
135295,SRSF12,R-HSA-72163|mRNA Splicing - Major Pathway ; R-HSA-72203|Processing of Capped Intron-Containing Pre-mRNA ; R-HSA-9770562|mRNA Polyadenylation
135892,TRIM50,R-HSA-983168|Antigen processing: Ubiquitination & Proteasome degradation
135924,OR9A2,R-HSA-9752946|Expression and translocation of olfactory receptors
